language,hpc_cluster,grid_size,n_workers,core_secs
julia,cosmos,16384,10,16.11
julia,cosmos,16384,11,16.632
julia,cosmos,16384,12,19.86
julia,cosmos,16384,1,2.222
julia,cosmos,16384,13,19.669
julia,cosmos,16384,14,20.258
julia,cosmos,16384,15,22.8
julia,cosmos,16384,16,24.096
julia,cosmos,16384,17,24.514
julia,cosmos,16384,18,25.884
julia,cosmos,16384,19,26.714
julia,cosmos,16384,20,28.58
julia,cosmos,16384,21,32.151
julia,cosmos,16384,22,32.252
julia,cosmos,16384,23,33.557
julia,cosmos,16384,24,35.088
julia,cosmos,16384,25,34.625
julia,cosmos,16384,2,5.76
julia,cosmos,16384,26,35.958
julia,cosmos,16384,27,39.555
julia,cosmos,16384,28,43.092
julia,cosmos,16384,29,38.715
julia,cosmos,16384,30,42.21
julia,cosmos,16384,31,50.871
julia,cosmos,16384,32,51.168
julia,cosmos,16384,33,51.942
julia,cosmos,16384,34,46.41
julia,cosmos,16384,35,50.155
julia,cosmos,16384,36,50.112
julia,cosmos,16384,3,6.9
julia,cosmos,16384,37,58.238
julia,cosmos,16384,38,54.796
julia,cosmos,16384,39,58.188
julia,cosmos,16384,40,57.28
julia,cosmos,16384,41,59.45
julia,cosmos,16384,42,61.572
julia,cosmos,16384,43,59.555
julia,cosmos,16384,44,71.148
julia,cosmos,16384,45,64.485
julia,cosmos,16384,46,65.642
julia,cosmos,16384,47,65.001
julia,cosmos,16384,4,8.048
julia,cosmos,16384,48,66.816
julia,cosmos,16384,5,9.195
julia,cosmos,16384,6,10.536
julia,cosmos,16384,7,11.956
julia,cosmos,16384,8,13.48
julia,cosmos,16384,9,14.301
