language,hpc_cluster,grid_size,n_workers,core_secs
r,sens2025560-b9,16384,10,329.639673233032
r,sens2025560-b9,16384,11,323.225702762604
r,sens2025560-b9,16384,12,320.173988342285
r,sens2025560-b9,16384,1,314.806509256363
r,sens2025560-b9,16384,13,329.971665382385
r,sens2025560-b9,16384,14,332.404386997223
r,sens2025560-b9,16384,15,333.481056690216
r,sens2025560-b9,16384,16,337.207080841064
r,sens2025560-b9,16384,2,315.865291118622
r,sens2025560-b9,16384,3,317.192592859268
r,sens2025560-b9,16384,4,317.472707748413
r,sens2025560-b9,16384,5,320.337798595428
r,sens2025560-b9,16384,6,320.514648914337
r,sens2025560-b9,16384,7,323.909366130829
r,sens2025560-b9,16384,8,303.280504226685
r,sens2025560-b9,16384,9,314.740332126617
