language,hpc_cluster,grid_size,n_workers,core_secs
julia,cosmos,16384,10,16.11
julia,cosmos,16384,11,16.632
julia,cosmos,16384,12,19.86
julia,cosmos,16384,1,2.222
julia,cosmos,16384,13,19.669
julia,cosmos,16384,14,20.258
julia,cosmos,16384,15,22.8
julia,cosmos,16384,16,24.096
julia,cosmos,16384,17,24.514
julia,cosmos,16384,18,25.884
julia,cosmos,16384,19,26.714
julia,cosmos,16384,20,28.58
julia,cosmos,16384,21,32.151
julia,cosmos,16384,22,32.252
julia,cosmos,16384,23,33.557
julia,cosmos,16384,24,35.088
julia,cosmos,16384,25,34.625
julia,cosmos,16384,2,5.76
julia,cosmos,16384,26,35.958
julia,cosmos,16384,27,39.555
julia,cosmos,16384,28,43.092
julia,cosmos,16384,29,38.715
julia,cosmos,16384,30,42.21
julia,cosmos,16384,31,50.871
julia,cosmos,16384,32,51.168
julia,cosmos,16384,33,51.942
julia,cosmos,16384,34,46.41
julia,cosmos,16384,35,50.155
julia,cosmos,16384,36,50.112
julia,cosmos,16384,3,6.9
julia,cosmos,16384,37,58.238
julia,cosmos,16384,38,54.796
julia,cosmos,16384,39,58.188
julia,cosmos,16384,40,57.28
julia,cosmos,16384,41,59.45
julia,cosmos,16384,42,61.572
julia,cosmos,16384,43,59.555
julia,cosmos,16384,44,71.148
julia,cosmos,16384,45,64.485
julia,cosmos,16384,46,65.642
julia,cosmos,16384,47,65.001
julia,cosmos,16384,4,8.048
julia,cosmos,16384,48,66.816
julia,cosmos,16384,5,9.195
julia,cosmos,16384,6,10.536
julia,cosmos,16384,7,11.956
julia,cosmos,16384,8,13.48
julia,cosmos,16384,9,14.301

julia,dardel,16384,10,22.83
julia,dardel,16384,11,24.849
julia,dardel,16384,1,2.189
julia,dardel,16384,12,26.712
julia,dardel,16384,13,28.652
julia,dardel,16384,14,30.45
julia,dardel,16384,15,32.505
julia,dardel,16384,16,34.336
julia,dardel,16384,17,37.468
julia,dardel,16384,18,39.312
julia,dardel,16384,19,40.185
julia,dardel,16384,20,43.2
julia,dardel,16384,21,45.15
julia,dardel,16384,22,47.432
julia,dardel,16384,23,47.978
julia,dardel,16384,24,49.536
julia,dardel,16384,25,51.625
julia,dardel,16384,26,55.458
julia,dardel,16384,2,7.494
julia,dardel,16384,27,57.321
julia,dardel,16384,28,57.204
julia,dardel,16384,29,59.189
julia,dardel,16384,30,63.39
julia,dardel,16384,31,63.426
julia,dardel,16384,32,65.152
julia,dardel,16384,33,69.135
julia,dardel,16384,34,69.122
julia,dardel,16384,35,71.365
julia,dardel,16384,36,72.54
julia,dardel,16384,37,74.074
julia,dardel,16384,38,76.874
julia,dardel,16384,3,9.414
julia,dardel,16384,39,79.872
julia,dardel,16384,40,83.48
julia,dardel,16384,4,11.324
julia,dardel,16384,41,82.164
julia,dardel,16384,42,84.63
julia,dardel,16384,43,86.645
julia,dardel,16384,44,88.264
julia,dardel,16384,45,91.71
julia,dardel,16384,46,92.184
julia,dardel,16384,47,96.021
julia,dardel,16384,48,96.624
julia,dardel,16384,49,100.45
julia,dardel,16384,50,104.05
julia,dardel,16384,51,101.949
julia,dardel,16384,5,13.25
julia,dardel,16384,52,103.688
julia,dardel,16384,53,118.402
julia,dardel,16384,54,113.076
julia,dardel,16384,55,114.62
julia,dardel,16384,56,115.024
julia,dardel,16384,57,119.415
julia,dardel,16384,58,115.362
julia,dardel,16384,59,121.953
julia,dardel,16384,60,119.04
julia,dardel,16384,61,127.124
julia,dardel,16384,6,15.192
julia,dardel,16384,62,126.542
julia,dardel,16384,63,130.914
julia,dardel,16384,64,133.12
julia,dardel,16384,7,17.122
julia,dardel,16384,8,18.984
julia,dardel,16384,9,20.961

julia,kebnekaise,16384,10,21.66
julia,kebnekaise,16384,11,22.484
julia,kebnekaise,16384,12,23.388
julia,kebnekaise,16384,13,25.597
julia,kebnekaise,16384,1,3.958
julia,kebnekaise,16384,14,25.998
julia,kebnekaise,16384,15,28.275
julia,kebnekaise,16384,16,32.592
julia,kebnekaise,16384,17,30.736
julia,kebnekaise,16384,18,32.112
julia,kebnekaise,16384,19,34.485
julia,kebnekaise,16384,20,35.24
julia,kebnekaise,16384,21,41.202
julia,kebnekaise,16384,22,44.44
julia,kebnekaise,16384,23,43.079
julia,kebnekaise,16384,24,47.64
julia,kebnekaise,16384,25,42.9
julia,kebnekaise,16384,26,43.758
julia,kebnekaise,16384,27,46.089
julia,kebnekaise,16384,28,49.196
julia,kebnekaise,16384,29,50.054
julia,kebnekaise,16384,2,9.892
julia,kebnekaise,16384,30,60
julia,kebnekaise,16384,3,10.59
julia,kebnekaise,16384,31,49.879
julia,kebnekaise,16384,32,58.176
julia,kebnekaise,16384,33,58.41
julia,kebnekaise,16384,34,67.83
julia,kebnekaise,16384,35,67.795
julia,kebnekaise,16384,36,63.576
julia,kebnekaise,16384,37,60.865
julia,kebnekaise,16384,38,61.636
julia,kebnekaise,16384,39,68.172
julia,kebnekaise,16384,40,72.48
julia,kebnekaise,16384,4,12.12
julia,kebnekaise,16384,41,77.531
julia,kebnekaise,16384,42,74.718
julia,kebnekaise,16384,43,79.722
julia,kebnekaise,16384,44,79.464
julia,kebnekaise,16384,45,80.235
julia,kebnekaise,16384,5,14.06
julia,kebnekaise,16384,6,14.82
julia,kebnekaise,16384,7,16.492
julia,kebnekaise,16384,8,18.072
julia,kebnekaise,16384,9,19.341

julia,pelle,16384,10,20.86
julia,pelle,16384,11,21.604
julia,pelle,16384,1,1.698
julia,pelle,16384,12,23.364
julia,pelle,16384,13,24.713
julia,pelle,16384,14,25.62
julia,pelle,16384,15,27.225
