language,hpc_cluster,grid_size,n_workers,core_secs
r,cosmos,16384,20,188.348841667175
r,cosmos,16384,2,138.779611110687
r,cosmos,16384,24,202.8863697052
r,cosmos,16384,48,197.019046783447
r,cosmos,16384,1,144.600519657135
r,cosmos,16384,41,182.621653795242
r,cosmos,16384,6,169.819783687592
r,cosmos,16384,43,182.138017177582
r,cosmos,16384,11,171.123403549194
r,cosmos,16384,3,152.050110340118
r,cosmos,16384,4,170.321704864502
r,cosmos,16384,5,160.90540766716
r,cosmos,16384,7,166.801668167114
r,cosmos,16384,8,167.16820526123
r,cosmos,16384,9,169.875424861908
r,cosmos,16384,45,201.529330015182
r,cosmos,16384,38,186.553865432739
r,cosmos,16384,46,184.50520658493
r,cosmos,16384,40,190.662479400635
r,cosmos,16384,47,185.391274452209
r,cosmos,16384,28,182.550346374512
r,cosmos,16384,39,183.147416353226
r,cosmos,16384,10,176.311337947845
r,cosmos,16384,37,171.978593587875
r,cosmos,16384,12,158.992155075073
r,cosmos,16384,36,178.582025527954
r,cosmos,16384,14,163.952520847321
r,cosmos,16384,34,229.697289466858
r,cosmos,16384,13,163.247275352478
r,cosmos,16384,35,180.975253582001
r,cosmos,16384,44,182.199249267578
r,cosmos,16384,15,161.188910007477
r,cosmos,16384,33,172.632494688034
r,cosmos,16384,16,163.055713653564
r,cosmos,16384,32,179.303039550781
r,cosmos,16384,18,159.774302959442
r,cosmos,16384,30,169.377000331879
r,cosmos,16384,17,169.296715497971
r,cosmos,16384,31,167.856558322906
r,cosmos,16384,19,162.402951002121
r,cosmos,16384,29,168.77025604248
r,cosmos,16384,22,171.26186132431
r,cosmos,16384,26,177.935764312744
r,cosmos,16384,42,180.05363702774
r,cosmos,16384,21,167.306209087372
r,cosmos,16384,27,174.077697515488
r,cosmos,16384,23,170.15821146965
r,cosmos,16384,25,179.129993915558
r,cosmos,16384,10,160.510351657867
r,cosmos,16384,11,168.198148012161
r,cosmos,16384,1,147.051496505737
r,cosmos,16384,12,159.761727333069
r,cosmos,16384,13,168.325298070908
r,cosmos,16384,14,159.093771457672
r,cosmos,16384,15,159.081766605377
r,cosmos,16384,16,162.778648376465
r,cosmos,16384,17,167.145078420639
r,cosmos,16384,18,166.129039764404
r,cosmos,16384,19,168.956456661224
r,cosmos,16384,20,190.729160308838
r,cosmos,16384,21,164.505410671234
r,cosmos,16384,2,138.320212841034
r,cosmos,16384,22,166.874726772308
r,cosmos,16384,23,169.379267692566
r,cosmos,16384,24,202.488372802734
r,cosmos,16384,25,167.19109416008
r,cosmos,16384,26,173.730355262756
r,cosmos,16384,27,175.038033485413
r,cosmos,16384,28,231.361717224121
r,cosmos,16384,29,171.841654777527
r,cosmos,16384,30,171.369388103485
r,cosmos,16384,31,168.355301380157
r,cosmos,16384,3,151.981832742691
r,cosmos,16384,32,220.703163146973
r,cosmos,16384,33,170.970151662827
r,cosmos,16384,34,170.027099132538
r,cosmos,16384,35,173.842471837997
r,cosmos,16384,36,170.958629608154
r,cosmos,16384,37,176.304351091385
r,cosmos,16384,38,194.023739814758
r,cosmos,16384,39,183.015835762024
r,cosmos,16384,40,175.969524383545
r,cosmos,16384,41,216.121465444565
r,cosmos,16384,4,158.043096542358
r,cosmos,16384,42,178.384643554688
r,cosmos,16384,43,186.026579856873
r,cosmos,16384,44,185.040274620056
r,cosmos,16384,45,196.938772201538
r,cosmos,16384,46,186.511325836182
r,cosmos,16384,47,186.749334812164
r,cosmos,16384,48,197.483333587646
r,cosmos,16384,5,159.229100942612
r,cosmos,16384,6,158.645898342133
r,cosmos,16384,7,165.243716955185
r,cosmos,16384,8,187.705312728882
r,cosmos,16384,9,165.889724493027
