language,hpc_cluster,grid_size,n_workers,core_secs
r,pelle,16384,10,277.772493362427
r,pelle,16384,11,279.758862495422
r,pelle,16384,1,172.710292816162
r,pelle,16384,13,282.305992603302
r,pelle,16384,14,288.664968013763
r,pelle,16384,15,282.159157991409
r,pelle,16384,16,295.371788024902
r,pelle,16384,17,298.408834218979
r,pelle,16384,18,301.847176551819
r,pelle,16384,19,308.504363298416
r,pelle,16384,20,306.673064231873
r,pelle,16384,21,304.977517604828
r,pelle,16384,22,308.230301380157
r,pelle,16384,2,304.280333995819
r,pelle,16384,23,306.350281476974
r,pelle,16384,24,314.890125274658
r,pelle,16384,25,287.52629160881
r,pelle,16384,26,290.540719032288
r,pelle,16384,27,284.695052862167
r,pelle,16384,28,295.029683113098
r,pelle,16384,29,297.015334129333
r,pelle,16384,30,313.477871417999
r,pelle,16384,31,295.282002210617
r,pelle,16384,32,302.510589599609
r,pelle,16384,33,2092.90617871284
r,pelle,16384,34,332.761370182037
r,pelle,16384,3,445.819055557251
r,pelle,16384,35,334.861752986908
r,pelle,16384,36,288.462773323059
r,pelle,16384,37,284.708328485489
r,pelle,16384,38,312.00621175766
r,pelle,16384,39,313.821774244308
r,pelle,16384,40,300.846939086914
r,pelle,16384,41,303.795243024826
r,pelle,16384,42,310.587135314941
r,pelle,16384,4,264.175461769104
r,pelle,16384,43,314.553685903549
r,pelle,16384,44,320.657695770264
r,pelle,16384,45,319.799727201462
r,pelle,16384,46,332.844125270844
r,pelle,16384,47,330.902219057083
r,pelle,16384,48,277.504875183105
r,pelle,16384,49,630.650403738022
r,pelle,16384,50,871.0893034935
r,pelle,16384,51,272.068477392197
r,pelle,16384,52,291.594529151917
r,pelle,16384,5,241.351042985916
r,pelle,16384,53,325.540883302689
r,pelle,16384,54,306.068561553955
r,pelle,16384,55,277.80564904213
r,pelle,16384,56,282.896675109863
r,pelle,16384,57,286.160111904144
r,pelle,16384,58,277.964060783386
r,pelle,16384,59,287.763261556625
r,pelle,16384,60,283.698792457581
r,pelle,16384,61,288.407588243484
r,pelle,16384,62,329.006811141968
r,pelle,16384,6,261.016971588135
r,pelle,16384,63,285.077619552612
r,pelle,16384,64,300.21142578125
r,pelle,16384,7,252.803104162216
r,pelle,16384,8,269.628690719604
r,pelle,16384,9,267.526953935623
