language,hpc_cluster,grid_size,n_workers,core_secs
r,tetralith,16384,22,286.373757839203
r,tetralith,16384,1,215.340749740601
r,tetralith,16384,2,225.571644306183
r,tetralith,16384,3,232.194387674332
r,tetralith,16384,23,268.2200050354
r,tetralith,16384,24,278.955379486084
r,tetralith,16384,16,282.389488220215
r,tetralith,16384,26,278.075013160706
r,tetralith,16384,28,290.797890663147
r,tetralith,16384,29,285.543083906174
r,tetralith,16384,31,280.238601922989
r,tetralith,16384,32,296.884147644043
r,tetralith,16384,17,268.177996873856
r,tetralith,16384,15,272.698259353638
r,tetralith,16384,4,252.373264312744
r,tetralith,16384,5,259.650393724442
r,tetralith,16384,6,264.542542934418
r,tetralith,16384,18,269.162451267242
r,tetralith,16384,30,306.956534385681
r,tetralith,16384,7,259.339820861816
r,tetralith,16384,8,262.320899963379
r,tetralith,16384,9,266.073507785797
r,tetralith,16384,19,277.823213577271
r,tetralith,16384,10,259.636552333832
r,tetralith,16384,11,263.477939128876
r,tetralith,16384,20,277.292175292969
r,tetralith,16384,12,263.088171958923
r,tetralith,16384,14,228.194418430328
r,tetralith,16384,21,268.870008945465
r,tetralith,16384,13,278.164001226425
r,tetralith,16384,25,274.7054874897
r,tetralith,16384,27,292.242383480072

r,tetralith,16384,1,217.986578226089
r,tetralith,16384,10,259.381337165833
r,tetralith,16384,11,262.287502288818
r,tetralith,16384,12,264.202869415283
r,tetralith,16384,13,276.23651432991
r,tetralith,16384,14,268.879561901093
r,tetralith,16384,15,272.452200651169
r,tetralith,16384,16,273.04027557373
r,tetralith,16384,17,272.330531597137
r,tetralith,16384,18,269.38420343399
r,tetralith,16384,19,277.162895917892
r,tetralith,16384,2,227.955934524536
r,tetralith,16384,20,269.215331077576
r,tetralith,16384,21,284.483984470367
r,tetralith,16384,22,263.979040145874
r,tetralith,16384,23,271.413417339325
r,tetralith,16384,24,286.575239181519
r,tetralith,16384,25,278.346520662308
r,tetralith,16384,26,273.761377811432
r,tetralith,16384,27,291.677149772644
r,tetralith,16384,28,276.3533411026
r,tetralith,16384,29,310.54931139946
r,tetralith,16384,3,229.502112865448
r,tetralith,16384,30,289.898600578308
r,tetralith,16384,31,295.056444406509
r,tetralith,16384,32,289.580436706543
r,tetralith,16384,4,250.882626533508
r,tetralith,16384,5,262.959277629852
r,tetralith,16384,6,263.506420612335
r,tetralith,16384,7,260.075787305832
r,tetralith,16384,8,265.582714080811
r,tetralith,16384,9,268.583188533783
