learning_outcomes,average_confidence,course
I can run Matlab in Jupyter,1.67,MATLAB
I can find and load the R machine learning modules,2,R
I can submit a job to the scheduler to run an R script that uses machine learning,2,R
I can submit a job to the scheduler to run an R script that uses a GPU,2.25,R
I can use GPUs with Matlab,2.25,MATLAB
"I can use renv to create, activate, use and deactivate a virtual environment",2.5,R
I can submit a job to the scheduler to run an R script that uses parallel code,2.75,R
I can work with Matlab in parallel,3,MATLAB
I can submit a job to the scheduler to run an R script with regular code,3.12,R
I can verify I am on the login node yes/no,3.12,R
I can start an interactive session with multiple cores,3.12,R
I can find out if an R package is already installed,3.25,R
I can install an R package from CRAN,3.25,R
I can start an interactive session,3.25,R
I can work interactively with Julia on the compute nodes,3.33,Julia
I can work with Julia project environments,3.33,Julia
I can start RStudio,3.38,R
I can run the R command to get the list of installed R packages,3.5,R
I can run an R script from the command-line,3.5,R
I can load the pre-installed R packages,3.5,R
I can use the Matlab client on the desktop,3.5,MATLAB
I can install add-ons,3.5,MATLAB
I can install a Julia package,3.67,Julia
I can write a batch script,3.67,Julia
I can find the module to be able to run R,3.75,R
I can load the module to be able to run R,3.75,R
I can run the R interpreter,3.75,R
I can submit jobs from inside the Matlab GUI,3.75,MATLAB
I can view add-ons and Toolboxes,3.75,MATLAB
I can write and submit a Matlab batch script,4,MATLAB
I can submit a batch script to the job scheduler,4,Julia
I can add job settings needed to run jobs from Matlab,4.25,MATLAB
I can configure the cluster,4.25,MATLAB
I can start the Matlab GUI,4.5,MATLAB
I can submit jobs from inside the Matlab terminal interface,4.5,MATLAB
I can run Julia,4.67,Julia
I can run a Julia script,4.67,Julia
I can use the module system to load a specific verison of Julia,4.67,Julia
I can start Matlab on the terminal,4.75,MATLAB
I can use the module system to load a specific version of Matlab,4.75,MATLAB
I can work in Matlab terminal interface,5,MATLAB
I can use the Julia interpreter,5,Julia
